time,G(i),H_sun,T2m,WS10m,Int
20180114:1710,0.0,0.0,5.92,0.97,0.0
20180114:1810,0.0,0.0,4.63,0.9,0.0
20180114:1910,0.0,0.0,3.41,1.52,0.0
20180114:2010,0.0,0.0,2.29,1.66,0.0
20180114:2110,0.0,0.0,1.21,1.79,0.0
20180114:2210,0.0,0.0,0.21,1.72,0.0
20180114:2310,0.0,0.0,-0.39,1.45,0.0
20180115:0010,0.0,0.0,-1.02,1.38,0.0
20180115:0110,0.0,0.0,-1.5,1.38,0.0
20180115:0210,0.0,0.0,-1.86,1.31,0.0
20180115:0310,0.0,0.0,-2.12,1.31,0.0
20180115:0410,0.0,0.0,-2.1,1.17,0.0
20180115:0510,0.0,0.0,-2.16,1.1,0.0
20180115:0610,0.0,0.0,-2.26,1.1,0.0
20180115:0710,0.0,0.0,-0.9,0.9,0.0
20180115:0810,170.77,4.83,-1.13,0.69,0.0
20180115:0910,494.2,13.75,-0.37,0.55,0.0
20180115:1010,724.22,21.05,2.16,0.34,0.0
20180115:1110,884.99,26.11,4.35,0.14,0.0
20180115:1210,938.77,28.38,6.12,0.69,0.0
20180115:1310,927.99,27.52,7.42,1.17,0.0
20180115:1410,554.98,23.67,8.18,1.45,0.0
20180115:1510,465.72,17.31,8.38,1.79,0.0
20180115:1610,152.08,9.06,8.07,1.79,0.0
20180115:1710,0.0,0.0,6.8,1.79,0.0
20180115:1810,0.0,0.0,5.36,1.93,0.0
20180115:1910,0.0,0.0,4.4,1.93,0.0
20180115:2010,0.0,0.0,4.03,2.0,0.0
20180115:2110,0.0,0.0,3.2,1.93,0.0
20180115:2210,0.0,0.0,2.25,1.93,0.0
20180115:2310,0.0,0.0,1.82,1.93,0.0
20180116:0010,0.0,0.0,1.85,1.86,0.0
20180116:0110,0.0,0.0,2.11,1.79,0.0
20180116:0210,0.0,0.0,2.74,1.72,0.0
20180116:0310,0.0,0.0,3.05,1.52,0.0
20180116:0410,0.0,0.0,2.99,1.59,0.0
20180116:0510,0.0,0.0,2.9,1.66,0.0
20180116:0610,0.0,0.0,2.83,1.52,0.0
20180116:0710,0.0,0.0,2.57,1.38,0.0
20180116:0810,168.06,4.91,2.26,1.52,0.0
20180116:0910,478.69,13.85,4.2,1.31,0.0
20180116:1010,719.2,21.18,6.48,1.66,0.0
20180116:1110,866.91,26.27,7.91,1.86,0.0
20180116:1210,920.57,28.56,9.53,2.0,0.0
20180116:1310,898.63,27.72,11.14,2.14,0.0
20180116:1410,741.69,23.87,11.99,2.21,0.0
20180116:1510,603.11,17.51,12.65,2.21,0.0
20180116:1610,339.99,9.25,12.39,2.0,0.0
20180116:1710,0.0,0.0,10.58,2.14,0.0
20180116:1810,0.0,0.0,8.7,2.28,0.0
20180116:1910,0.0,0.0,7.87,2.21,0.0
20180116:2010,0.0,0.0,6.76,2.21,0.0
